iterations,mean_loss,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
0,14.2,1696877175,False,1,1faf0_00002,2023-10-09_14-46-15,0.00023412704467773438,0.00023412704467773438,90598,M-Q60T6533T0,127.0.0.1,0.00023412704467773438,1,
1,5.286956521739131,1696877176,False,2,1faf0_00002,2023-10-09_14-46-16,0.1057591438293457,0.10599327087402344,90598,M-Q60T6533T0,127.0.0.1,0.10599327087402344,2,
2,4.774712643678161,1696877176,False,3,1faf0_00002,2023-10-09_14-46-16,0.10124802589416504,0.20724129676818848,90598,M-Q60T6533T0,127.0.0.1,0.20724129676818848,3,
3,4.590625,1696877176,False,4,1faf0_00002,2023-10-09_14-46-16,0.10110902786254883,0.3083503246307373,90598,M-Q60T6533T0,127.0.0.1,0.3083503246307373,4,
4,4.495857988165681,1696877176,False,5,1faf0_00002,2023-10-09_14-46-16,0.10429716110229492,0.4126474857330322,90598,M-Q60T6533T0,127.0.0.1,0.4126474857330322,5,
5,4.438095238095238,1696877176,False,6,1faf0_00002,2023-10-09_14-46-16,0.10300397872924805,0.5156514644622803,90598,M-Q60T6533T0,127.0.0.1,0.5156514644622803,6,
6,4.399203187250996,1696877176,False,7,1faf0_00002,2023-10-09_14-46-16,0.10179901123046875,0.617450475692749,90598,M-Q60T6533T0,127.0.0.1,0.617450475692749,7,
7,4.3712328767123285,1696877176,False,8,1faf0_00002,2023-10-09_14-46-16,0.10381007194519043,0.7212605476379395,90598,M-Q60T6533T0,127.0.0.1,0.7212605476379395,8,
8,4.35015015015015,1696877176,False,9,1faf0_00002,2023-10-09_14-46-16,0.10397696495056152,0.825237512588501,90598,M-Q60T6533T0,127.0.0.1,0.825237512588501,9,
9,4.333689839572193,1696877177,False,10,1faf0_00002,2023-10-09_14-46-17,0.10022711753845215,0.9254646301269531,90598,M-Q60T6533T0,127.0.0.1,0.9254646301269531,10,
10,4.320481927710843,1696877177,False,11,1faf0_00002,2023-10-09_14-46-17,0.10511589050292969,1.0305805206298828,90598,M-Q60T6533T0,127.0.0.1,1.0305805206298828,11,
11,4.309649122807018,1696877177,False,12,1faf0_00002,2023-10-09_14-46-17,0.10176992416381836,1.1323504447937012,90598,M-Q60T6533T0,127.0.0.1,1.1323504447937012,12,
12,4.3006036217303825,1696877177,False,13,1faf0_00002,2023-10-09_14-46-17,0.10021686553955078,1.232567310333252,90598,M-Q60T6533T0,127.0.0.1,1.232567310333252,13,
13,4.292936802973978,1696877177,False,14,1faf0_00002,2023-10-09_14-46-17,0.10358977317810059,1.3361570835113525,90598,M-Q60T6533T0,127.0.0.1,1.3361570835113525,14,
14,4.286355785837651,1696877177,False,15,1faf0_00002,2023-10-09_14-46-17,0.10101509094238281,1.4371721744537354,90598,M-Q60T6533T0,127.0.0.1,1.4371721744537354,15,
15,4.280645161290323,1696877177,False,16,1faf0_00002,2023-10-09_14-46-17,0.10412216186523438,1.5412943363189697,90598,M-Q60T6533T0,127.0.0.1,1.5412943363189697,16,
16,4.275642965204236,1696877177,False,17,1faf0_00002,2023-10-09_14-46-17,0.10314536094665527,1.644439697265625,90598,M-Q60T6533T0,127.0.0.1,1.644439697265625,17,
17,4.2712250712250714,1696877178,False,18,1faf0_00002,2023-10-09_14-46-18,0.1045839786529541,1.749023675918579,90598,M-Q60T6533T0,127.0.0.1,1.749023675918579,18,
18,4.2672947510094215,1696877178,False,19,1faf0_00002,2023-10-09_14-46-18,0.10400271415710449,1.8530263900756836,90598,M-Q60T6533T0,127.0.0.1,1.8530263900756836,19,
19,4.2637755102040815,1696877178,False,20,1faf0_00002,2023-10-09_14-46-18,0.10379600524902344,1.956822395324707,90598,M-Q60T6533T0,127.0.0.1,1.956822395324707,20,
20,4.260606060606061,1696877178,False,21,1faf0_00002,2023-10-09_14-46-18,0.10470104217529297,2.0615234375,90598,M-Q60T6533T0,127.0.0.1,2.0615234375,21,
21,4.257736720554273,1696877178,False,22,1faf0_00002,2023-10-09_14-46-18,0.10290098190307617,2.164424419403076,90598,M-Q60T6533T0,127.0.0.1,2.164424419403076,22,
22,4.255126791620728,1696877178,False,23,1faf0_00002,2023-10-09_14-46-18,0.10077500343322754,2.2651994228363037,90598,M-Q60T6533T0,127.0.0.1,2.2651994228363037,23,
